_c0,user_id,ISBN,rating,title,author,year,publisher,img_url,number_of_ratings,item_id
169694,87141,0671741195,0,The Cradle Will Fall,Mary Higgins Clark,1991,Pocket,http://images.amazon.com/images/P/0671741195.01.LZZZZZZZ.jpg,58,618.0
169695,102967,0671741195,0,The Cradle Will Fall,Mary Higgins Clark,1991,Pocket,http://images.amazon.com/images/P/0671741195.01.LZZZZZZZ.jpg,58,618.0
169696,104636,0671741195,9,The Cradle Will Fall,Mary Higgins Clark,1991,Pocket,http://images.amazon.com/images/P/0671741195.01.LZZZZZZZ.jpg,58,618.0
169697,105979,0671741195,0,The Cradle Will Fall,Mary Higgins Clark,1991,Pocket,http://images.amazon.com/images/P/0671741195.01.LZZZZZZZ.jpg,58,618.0
169698,106225,0671741195,0,The Cradle Will Fall,Mary Higgins Clark,1991,Pocket,http://images.amazon.com/images/P/0671741195.01.LZZZZZZZ.jpg,58,618.0
169699,107784,0671741195,5,The Cradle Will Fall,Mary Higgins Clark,1991,Pocket,http://images.amazon.com/images/P/0671741195.01.LZZZZZZZ.jpg,58,618.0
169700,110912,0671741195,0,The Cradle Will Fall,Mary Higgins Clark,1991,Pocket,http://images.amazon.com/images/P/0671741195.01.LZZZZZZZ.jpg,58,618.0
169701,115120,0671741195,0,The Cradle Will Fall,Mary Higgins Clark,1991,Pocket,http://images.amazon.com/images/P/0671741195.01.LZZZZZZZ.jpg,58,618.0
169702,126736,0671741195,6,The Cradle Will Fall,Mary Higgins Clark,1991,Pocket,http://images.amazon.com/images/P/0671741195.01.LZZZZZZZ.jpg,58,618.0
169703,131027,0671741195,0,The Cradle Will Fall,Mary Higgins Clark,1991,Pocket,http://images.amazon.com/images/P/0671741195.01.LZZZZZZZ.jpg,58,618.0
169704,131046,0671741195,0,The Cradle Will Fall,Mary Higgins Clark,1991,Pocket,http://images.amazon.com/images/P/0671741195.01.LZZZZZZZ.jpg,58,618.0
169705,138844,0671741195,0,The Cradle Will Fall,Mary Higgins Clark,1991,Pocket,http://images.amazon.com/images/P/0671741195.01.LZZZZZZZ.jpg,58,618.0
169706,144531,0671741195,0,The Cradle Will Fall,Mary Higgins Clark,1991,Pocket,http://images.amazon.com/images/P/0671741195.01.LZZZZZZZ.jpg,58,618.0
169708,158295,0671741195,0,The Cradle Will Fall,Mary Higgins Clark,1991,Pocket,http://images.amazon.com/images/P/0671741195.01.LZZZZZZZ.jpg,58,618.0
169709,168064,0671741195,0,The Cradle Will Fall,Mary Higgins Clark,1991,Pocket,http://images.amazon.com/images/P/0671741195.01.LZZZZZZZ.jpg,58,618.0
169710,177090,0671741195,0,The Cradle Will Fall,Mary Higgins Clark,1991,Pocket,http://images.amazon.com/images/P/0671741195.01.LZZZZZZZ.jpg,58,618.0
